"","x"
"1204","MM796"
"1205","MM795"
"1206","MM794"
"1207","MM793"
"1208","MM792"
"1209","MM791"
"1210","MM790"
"1211","MM789"
"1212","MM788"
"1213","MM787"
"1214","MM786"
"1215","MM785"
"1216","MM784"
"1217","MM783"
"1218","MM782"
"1219","MM781"
"1220","MM780"
"1221","MM779"
"1222","MM778"
"1223","MM777"
"1224","MM776"
"1225","MM775"
"1226","MM774"
"1227","MM773"
"1228","MM772"
"1229","MM771"
"1230","MM770"
"1231","MM769"
"1232","MM768"
"1233","MM767"
"1234","MM766"
"1235","MM765"
"1236","MM764"
"1237","MM763"
"1238","MM762"
"1239","MM761"
"1240","MM760"
"1241","MM759"
"1242","MM758"
"1243","MM757"
"1244","MM756"
"1245","MM755"
"1246","MM754"
"1247","MM753"
"1248","MM752"
"1249","MM751"
"1250","MM750"
"1251","MM749"
"1252","MM748"
"1253","MM747"
"1254","MM746"
"1255","MM745"
"1256","MM744"
"1257","MM743"
"1258","MM742"
"1259","MM741"
"1260","MM740"
"1261","MM739"
"1262","MM738"
"1263","MM737"
"1264","MM736"
"1265","MM735"
"1266","MM734"
"1267","MM733"
"1268","MM732"
"1269","MM731"
"1270","MM730"
"1271","MM729"
"1272","MM728"
"1273","MM727"
"1274","MM726"
"1275","MM725"
"1276","MM724"
"1277","MM723"
"1278","MM722"
"1279","MM721"
"1280","MM720"
"1281","MM719"
"1282","MM718"
"1283","MM717"
"1284","MM716"
"1285","MM715"
"1286","MM714"
"1287","MM713"
"1288","MM712"
"1289","MM711"
"1290","MM710"
"1291","MM709"
"1292","MM708"
"1293","MM707"
"1294","MM706"
"1295","MM705"
"1296","MM704"
"1297","MM703"
"1298","MM702"
"1299","MM701"
"1300","MM700"
"1301","MM699"
"1302","MM698"
"1303","MM697"
"1304","MM696"
"1305","MM695"
"1306","MM694"
"1307","MM693"
"1308","MM692"
"1309","MM691"
"1310","MM690"
"1311","MM689"
"1312","MM688"
"1313","MM687"
"1314","MM686"
"1315","MM685"
"1316","MM684"
"1317","MM683"
"1318","MM682"
"1319","MM681"
"1320","MM680"
"1321","MM679"
"1322","MM678"
"1323","MM677"
"1324","MM676"
"1325","MM675"
"1326","MM674"
"1327","MM673"
"1328","MM672"
"1329","MM671"
"1330","MM670"
"1331","MM669"
"1332","MM668"
"1333","MM667"
"1334","MM666"
"1335","MM665"
"1336","MM664"
"1337","MM663"
"1338","MM662"
"1339","MM661"
"1340","MM660"
"1341","MM659"
"1342","MM658"
"1343","MM657"
"1344","MM656"
"1345","MM655"
"1346","MM654"
"1347","MM653"
"1348","MM652"
"1349","MM651"
"1350","MM650"
"1351","MM649"
"1352","MM648"
"1353","MM647"
"1354","MM646"
"1355","MM645"
"1356","MM644"
"1357","MM643"
"1358","MM642"
"1359","MM641"
"1360","MM640"
"1361","MM639"
"1362","MM638"
"1363","MM637"
"1364","MM636"
"1365","MM635"
"1366","MM634"
"1367","MM633"
"1368","MM632"
"1369","MM631"
"1370","MM630"
"1371","MM629"
"1372","MM628"
"1373","MM627"
"1374","MM626"
"1375","MM625"
"1376","MM624"
"1377","MM623"
